1,8995c1,8991
< prg rom size: 0x4000, chr rom size: 0x2000
< C79E  78        SEI                             A:00 X:00 Y:00 P:24 SP:FD CYC:12
< C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:698
< C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:701
< C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:705
< C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:707
< C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:710
< C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:714
< C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:716
< C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:719
< C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:723
< C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:725
< C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:728
< C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:732
< C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:734
< C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:737
< C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:741
< C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:743
< C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:746
< C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:750
< C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:752
< C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:755
< C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:759
< C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:761
< C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:764
< C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:768
< C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:770
< C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:773
< C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:777
